model,dataset,debate_accuracy,debate_f1,debate_yes_pct,debate_brd,debate_n,sc_k,sc_accuracy,sc_f1,sc_yes_pct,sc_brd,sc_n,zs_accuracy,zs_f1,zs_yes_pct,zs_brd,zs_n,mw_u_stat,mw_p_value,debate_minus_sc_accuracy,debate_minus_sc_brd,base_rate
gemini/gemini-2.5-flash,compas,0.6707317073170732,0.6785714285714286,0.5609756097560976,0.09756097560975613,164,2,0.71,0.6329113924050633,0.34,0.10999999999999999,100,0.71,0.6329113924050633,0.34,0.10999999999999999,100,7878.0,0.5064744995268764,-0.03926829268292675,-0.012439024390243858,0.4634146341463415
gpt-4.1-mini,compas,0.7266666666666667,0.6693548387096775,0.37666666666666665,0.07333333333333336,300,59,0.7,0.6428571428571429,0.39,0.06,100,0.74,0.6829268292682927,0.37,0.08000000000000002,100,15400.0,0.6079100219564177,0.026666666666666727,0.013333333333333364,0.45
gpt-4o-mini,compas,0.71,0.6477732793522266,0.37333333333333335,0.07666666666666666,300,59,0.72,0.6585365853658536,0.37,0.08000000000000002,100,0.71,0.6506024096385543,0.38,0.07,100,14850.0,0.8489411666124403,-0.010000000000000009,-0.003333333333333355,0.45
