model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gpt-4o-mini,nlsy97,0.17,0.717888,0.35788799999999993,0.30000000000000004,0.42000000000000004,0.30000000000000004,0.49354,0.42,0.56,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.18,0.7113139999999999,0.351314,0.31000000000000005,0.41000000000000003,0.29000000000000004,0.49343000000000004,0.41,0.57,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.19,0.704208,0.344208,0.30000000000000004,0.4,0.28,0.49359400000000003,0.42,0.56,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.2,0.69785,0.3378500000000001,0.29000000000000004,0.39,0.27,0.494076,0.41,0.57,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.21,0.691464,0.33146400000000004,0.28,0.4,0.26,0.49381400000000003,0.42,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.22,0.68474,0.32474000000000003,0.27,0.39,0.25,0.4946120000000001,0.41,0.57,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.23,0.6779940000000001,0.31799400000000005,0.26,0.38,0.24,0.4940860000000001,0.42,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.24,0.671934,0.311934,0.25,0.37,0.22999999999999998,0.49545,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.25,0.6649940000000001,0.30499400000000004,0.24,0.38,0.21999999999999997,0.49579000000000006,0.42,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.26,0.6583600000000001,0.29836,0.22999999999999998,0.37,0.20999999999999996,0.49561400000000005,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.27,0.65144,0.29144000000000003,0.24,0.36,0.20000000000000007,0.496126,0.4,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.28,0.645008,0.285008,0.22999999999999998,0.35,0.19000000000000006,0.495436,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.29,0.63874,0.27874000000000004,0.21999999999999997,0.33999999999999997,0.18000000000000005,0.49632600000000004,0.4,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.3,0.6320680000000001,0.27206800000000003,0.20999999999999996,0.35,0.17000000000000004,0.49659200000000003,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.31,0.624972,0.26497200000000004,0.20000000000000007,0.33999999999999997,0.16000000000000003,0.496462,0.4,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.32,0.618416,0.25841600000000003,0.19000000000000006,0.32999999999999996,0.15000000000000002,0.49692600000000003,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.33,0.612246,0.252246,0.18000000000000005,0.32000000000000006,0.14,0.496026,0.4,0.58,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.34,0.6062,0.2462,0.17000000000000004,0.31000000000000005,0.13,0.49653,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.35,0.59939,0.23939000000000002,0.18000000000000005,0.30000000000000004,0.12,0.498064,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.36,0.592462,0.232462,0.17000000000000004,0.31000000000000005,0.10999999999999999,0.49763199999999996,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.37,0.58595,0.22595,0.16000000000000003,0.30000000000000004,0.10000000000000003,0.4976,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.38,0.5793119999999999,0.21931199999999998,0.15000000000000002,0.29000000000000004,0.09000000000000002,0.4973,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.39,0.5729360000000001,0.21293600000000007,0.14,0.28,0.10000000000000003,0.49828199999999995,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.4,0.56605,0.20605,0.13,0.27,0.09000000000000002,0.498154,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
