model,dataset,debate_accuracy,debate_f1,debate_yes_pct,debate_brd,debate_n,sc_k,sc_accuracy,sc_f1,sc_yes_pct,sc_brd,sc_n,zs_accuracy,zs_f1,zs_yes_pct,zs_brd,zs_n,mw_u_stat,mw_p_value,debate_minus_sc_accuracy,debate_minus_sc_brd,base_rate
gemini/gemini-2.5-flash,nlsy97,0.5855263157894737,0.5401459854014597,0.5460526315789473,0.1907894736842105,152,2,0.52,0.5932203389830508,0.82,0.45999999999999996,100,0.52,0.5932203389830508,0.82,0.45999999999999996,100,8098.0,0.30676285049528007,0.06552631578947365,-0.26921052631578946,0.35526315789473684
gpt-4.1-mini,nlsy97,0.55,0.5602605863192183,0.6633333333333333,0.30333333333333334,300,59,0.56,0.6,0.74,0.38,100,0.54,0.5740740740740742,0.72,0.36,100,14850.0,0.8623604767453066,-0.010000000000000009,-0.07666666666666666,0.36
gpt-4o-mini,nlsy97,0.57,0.42152466367713004,0.38333333333333336,0.023333333333333373,300,59,0.47,0.5619834710743801,0.85,0.49,100,0.49,0.5714285714285714,0.83,0.47,100,16500.0,0.08250120854765994,0.09999999999999998,-0.4666666666666666,0.36
