model_name,prompt_type,method,n_cases,accuracy,precision,recall,f1_score,yes_pct,base_rate,brd,tp,tn,fp,fn
gemini/gemini-2.5-flash,system1,SC-K=2,100,0.71,0.7352941176470589,0.5555555555555556,0.6329113924050633,0.34,0.45,0.10999999999999999,25,46,9,20
gpt-4.1-mini,system1,SC-K=59,100,0.7,0.6923076923076923,0.6,0.6428571428571429,0.39,0.45,0.06,27,43,12,18
gpt-4o-mini,system1,SC-K=59,100,0.72,0.7297297297297297,0.6,0.6585365853658536,0.37,0.45,0.08000000000000002,27,45,10,18
xai/grok-4-1-fast-non-reasoning-latest,system1,SC-K=59,100,0.69,0.625,0.7777777777777778,0.6930693069306931,0.56,0.45,0.11000000000000004,35,34,21,10
